ein,fre15,name15,add15,type15,subtype15,rev_15,fre12,name12,add12,type12,subtype12,rev_12,diff,diff_per,Name,lat,long,addree,status,source,flag_keep
942422439,3,pacific vision foundation,"711 VAN NESS AVENUE,94102-3244",H,H41,-345850.3333,3,pacific vision foundation,"711 VAN NESS AVENUE,94102-3244",H,H41,686537.3333,-1032387.667,-150.3760417,"711 VAN NESS AVENUE,94102-3244",37.7822113,-122.4209668,"711 Van Ness Ave, San Francisco, CA 94102, USA",Match,Google,0
237083433,3,pacific coast aquatics inc,"9 WAKONDA,92679-3710",N,N67,0,3,pacific coast aquatics inc,"9 WAKONDA,92679-3710",N,N67,52447.33333,-52447.33333,-100,"9 WAKONDA,92679-3710",33.6352961,-117.571459,"9 Wakonda, Trabuco Canyon, CA 92679, USA",Match,Google,0
954088389,3,pacific coast tissue bank,"2400 S FLOWER ST 5TH FLOOR,",E,E65,1.333333333,3,pacific coast tissue bank,"2400 S FLOWER ST 5TH FLOOR,90007-2629",E,E65,840463.6667,-840462.3333,-99.99984136,"2400 S FLOWER ST 5TH FLOOR,90007-2629",34.027914,-118.2734572,"2400 Flower St 5TH FLOOR, Los Angeles, CA 90007, USA",Match,Google,0
776127769,3,chinese cancer memorial foundation,"1413 GRANT RD,94040-3250",G,G30,11210.33333,3,chinese cancer memorial foundation,"1413 GRANT RD,94040-3250",G,G30,803407.6667,-792197.3333,-98.60465193,"1413 GRANT RD,94040-3250",37.3776249,-122.0746709,"1413 Grant Rd, Mountain View, CA 94040, USA",Match,Google,1
943196937,2,pacific voice and speech foundation,"58 W PORTAL AVE 229,94127-1304",E,E50,4130,2,pacific voice and speech foundation,"58 W PORTAL AVE 229,94127-1304",E,E50,104696.5,-100566.5,-96.0552645,"58 W PORTAL AVE 229,94127-1304",37.7403344,-122.4667264,"58 W Portal Ave, San Francisco, CA 94127, USA",Partial Match,Google,0
943375113,3,nikasia up and coming infant development center up and coming infant development ctr,"4143 MACARTHUR BLVD,94619-1905",P,P33,166708,3,nikasia up & coming infant development center,"4143 MACARTHUR BLVD,94619-1905",P,P33,2808567,-2641859,-94.06430397,"4143 MACARTHUR BLVD,94619-1905",37.7888422,-122.1965246,"4143 MacArthur Blvd, Oakland, CA 94619, USA",Match,Google,0
522448069,3,asian healthcare institute inc,"1315 23RD AVE STE 210,94122-1640",E,E31,333.3333333,2,asian healthcare institute inc,"3145 GEARY BLVD 49,94118-3316",E,E31,5000,-4666.666667,-93.33333333,"3145 GEARY BLVD 49,94118-3316",37.7815273,-122.4528764,"3145 Geary Blvd, San Francisco, CA 94118, USA",Partial Match,Google,1
204919872,3,asian american education institute,"3699 WILSHIRE BLVD STE 1290,90010-2732",P,P84,10100,3,asian american education institute,"3699 WILSHIRE BLVD,90010-2718",P,P84,97708.33333,-87608.33333,-89.66311301,"3699 WILSHIRE BLVD,90010-2718",34.0622472,-118.3061634,"3699 Wilshire Blvd, Los Angeles, CA 90010, USA",Match,Google,1
272420622,3,orange county asian police officers association inc,"PO BOX 426,",I,I0360,2170.666667,2,orange county asian police officers association inc,"PO BOX 426,92684-0426",I,I0360,18816.5,-16645.83333,-88.46402537,"PO BOX 426,92684-0426",33.7448375,-117.9671748,"Westminster, CA 92684, USA",Partial Match,Google,0
942786931,3,als & neuromuscular research foundation pacific medical center,"2351 CLAY ST 416,94115-1931",H,H43,21445.33333,3,als & neuromuscular research foundation pacific medical center,"2351 CLAY ST 416,94115-1931",H,H43,168168.3333,-146723,-87.24769824,"2351 CLAY ST 416,94115-1931",37.7907,-122.4316064,"2351 Clay St, San Francisco, CA 94115, USA",Partial Match,Google,0
262764917,3,vietnamese disabled orphans fund,"4372 TECUMSEH WAY,92117-2828",P,P12,3273.666667,3,vietnamese disabled orphans fund,"4904 MONROE AVE,92115-3323",P,P12,24679.66667,-21406,-86.7353692,"4904 MONROE AVE,92115-3323",32.7591902,-117.0887168,"4904 Monroe Ave, San Diego, CA 92115, USA",Match,Google,1
942595575,3,pacific community services inc,"PO BOX 1397,94565-0397",L,L80,159169,3,pacific community services inc,"PO BOX 1397,94565-0397",L,L80,975454.3333,-816285.3333,-83.682578,"PO BOX 1397,94565-0397",38.0182853,-121.9245556,"Pittsburg, CA 94565, USA",Partial Match,Google,0
943124000,3,american association of physicians of indian origin inc,"C/O 5201 GREAT AMERICA PARKWAY,95054-0000",E,E03,14395.66667,3,american association of physicians of indian origin inc,"5201 GREAT AMERICA PKWY STE 256,95054-1126",E,E03,73885.33333,-59489.66667,-80.51620529,"5201 GREAT AMERICA PKWY STE 256,95054-1126",37.4063062,-121.9764933,"5201 Great America Pkwy #256, Santa Clara, CA 95054, USA",Match,Google,0
943227001,3,sacramento asian sports foundation,"6696 TRUDY WAY,95831-1954",N,N1130,58847.66667,3,sacramento asian sports foundation c/o julie k ota,"6696 TRUDY WAY,95831-1954",N,N1130,238718,-179870.3333,-75.34845857,"6696 TRUDY WAY,95831-1954",38.5054163,-121.5532374,"6696 Trudy Way, Sacramento, CA 95831, USA",Match,Google,0
943410511,3,asian medical clinic of fremont inc,"PO BOX 14858,94539-1858",E,E31,255434.3333,3,asian medical clinic of fremont inc,"PO BOX 14858,94539-1858",E,E31,933710.3333,-678276,-72.64308595,"PO BOX 14858,94539-1858",37.5148444,-121.9131761,"Fremont, CA 94539, USA",Partial Match,Google,1
943236285,3,lao park housing corporation,"2325 E 12TH ST,94601-1014",L,L50,-504,2,lao park housing corporation,"2325 E 12TH ST,94601-1014",L,L50,-1726,1222,-70.7995365,"2325 E 12TH ST,94601-1014",37.7820144,-122.2365839,"2325 E 12th St, Oakland, CA 94601, USA",Match,Google,0
260624777,3,total institute for development andeast asian strategies inc,"809 CUESTA DR STE B,94040-3669",P,P84,96809,3,total institute for development andeast asian strategies inc,"809 B CUESTA DR STE 2184,94040-3669",P,P84,322895,-226086,-70.01842704,"809 B CUESTA DR STE 2184,94040-3669",37.3731296,-122.0879609,"809b Cuesta Dr #2184, Mountain View, CA 94040, USA",Match,Google,1
208835997,3,asian business center,"120 S SAN PEDRO ST STE 523,90012-2376",P,P84,36150.33333,3,asian business center,"120 S SAN PEDRO ST STE 523,90012-5300",P,P84,110465.3333,-74315,-67.27449939,"120 S SAN PEDRO ST STE 523,90012-5300",34.0494541,-118.2412816,"120 San Pedro St #523, Los Angeles, CA 90012, USA",Match,Google,0
954588504,3,forever love foundation for medical aid to thailand,"C/O DAVID RICHARD 11735 MOORPARK,94506-4617",E,E11,52109.66667,2,forever love foundation for medical aid to thailand,"11735 MOORPARK,91604-0000",E,E11,158174.5,-106064.8333,-67.05558313,"11735 MOORPARK,91604-0000",34.1506504,-118.3890928,"11735 Moorpark St, Studio City, CA 91604, USA",Match,Google,1
262590806,3,pacific grove fire department volunteer firefighters association,"600 PINE AVE,93950-3317",M,M24,1702,2,pacific grove fire department volunteer firefighters association,"600 PINE AVE,93950-3317",M,M24,4456.5,-2754.5,-61.80859419,"600 PINE AVE,93950-3317",36.6193038,-121.9194759,"600 Pine Ave, Pacific Grove, CA 93950, USA",Match,Google,0
237262124,3,san diego chinese center,"428 3RD AVE,92101-6803",P,P84,9111,3,san diego chinese center,"428 3RD AVE,92101-6803",P,P84,23789.66667,-14678.66667,-61.70185935,"428 3RD AVE,92101-6803",32.7098845,-117.1622014,"428 Third Ave, San Diego, CA 92101, USA",Match,Google,0
460515502,3,filipino american senior services association inc,"1150 E FOURTH ST STE 204,90802-1735",P,P81,6278,2,filipino american senior services association inc,"1150 E FOURTH ST STE 204,90802-1735",P,P81,15706,-9428,-60.02801477,"1150 E FOURTH ST STE 204,90802-1735",33.771272,-118.1769037,"1150 E 4th St #204, Long Beach, CA 90802, USA",Match,Google,1
208398318,3,us japan advanced skill training center,"386 BEECH AVENUE SUITE B7,90501-6202",J,J20,34716,3,us japan advanced skill training center,"386 BEECH AVENUE,90501-6202",J,J20,83410.33333,-48694.33333,-58.37925757,"386 BEECH AVENUE,90501-6202",33.8445886,-118.3269262,"386 Beech Ave, Torrance, CA 90501, USA",Match,Google,1
330497507,3,pacific endodontic research foundation,"6235 LUSK BLVD,92108-4011",H,H90,240976,3,pacific endodontic research foundation,"6235 LUSK BLVD,92121-2731",H,H90,535191.6667,-294215.6667,-54.97388786,"6235 LUSK BLVD,92121-2731",32.9013895,-117.1962005,"6235 Lusk Blvd, San Diego, CA 92121, USA",Match,Google,0
943145119,3,indian dispute resolution services inc,"18850 FOREST HOME RD,95669-9727",I,I51,277513.6667,3,indian dispute resolution services inc,"1325 HOWE AVE STE 201,95825-3364",I,I51,606505.6667,-328992,-54.24384603,"1325 HOWE AVE STE 201,95825-3364",38.590005,-121.4167789,"1325 Howe Ave #201, Sacramento, CA 95825, USA",Match,Google,0
542153147,3,north county pacific soccer club inc,"4822 LAVELL DR,92886-2138",N,N64,84869.66667,3,north county pacific soccer club inc,"4822 LAVELL DR,92886-2138",N,N64,178356.3333,-93486.66667,-52.41566975,"4822 LAVELL DR,92886-2138",33.8907044,-117.8409191,"4822 Lavell Dr, Yorba Linda, CA 92886, USA",Match,Google,0
264335169,3,chinese american schools alameda,"16 MORNING VIEW DR,92657-1500",P,P84,431994,3,chinese american schools - alameda,"16 MORNING VIEW DR,92657-1500",P,P84,902637,-470643,-52.14089385,"16 MORNING VIEW DR,92657-1500",33.5956105,-117.8307307,"16 Morning View Dr, Newport Coast, CA 92657, USA",Match,Google,1
200616241,3,sri lanka medical association north america inc western region,"827 LINDA VISTA AVE,91103-2739",G,G90,32013.66667,3,sri lanka medical association north america inc,"1417 HIGHLAND OAKS DR,91006-1830",G,G90,64541.66667,-32528,-50.39845061,"1417 HIGHLAND OAKS DR,91006-1830",34.1575368,-118.0293354,"1417 Highland Oaks Dr, Arcadia, CA 91006, USA",Match,Google,1
364477762,3,papanicolaou society of cytopathology organization,"2295 VALLEJO STREET,94123-4777",P,P99,23546,3,papanicolaou society of cytopathology organization,"2295 VALLEJO STREET,94123-4765",P,P99,46969.66667,-23423.66667,-49.86977411,"2295 VALLEJO STREET,94123-4765",37.7949912,-122.4347802,"2295 Vallejo St, San Francisco, CA 94123, USA",Match,Google,0
943131318,3,chinese family for christ,"PO BOX 610301,95131-1708",P,P46,364715,3,chinese family for christ,"1975 CONCOURSE DR,95131-1708",P,P46,715695,-350980,-49.04044321,"1975 CONCOURSE DR,95131-1708",37.3972214,-121.8939261,"1975 Concourse Dr, San Jose, CA 95131, USA",Match,Google,1
912115727,3,pacific coast soccer club,"1205 S LA CIENEGA BLVD APT B,",N,N64,136663.6667,3,pacific coast soccer club,"322 BENTEL AVE,90049-3606",N,N64,267414.6667,-130751,-48.89447599,"322 BENTEL AVE,90049-3606",34.0507698,-118.4922767,"322 Bentel Ave, Los Angeles, CA 90049, USA",Match,Google,0
450518959,2,myanmar community of the united states of america inc,"1178 SOUTHGATE AVE,94015-3838",P,P80,2928,2,myanmar community of the united states of america inc,"1178 SOUTHGATE AVE,94015-3838",P,P80,5500,-2572,-46.76363636,"1178 SOUTHGATE AVE,94015-3838",37.6793807,-122.4872115,"1178 Southgate Ave, Daly City, CA 94015, USA",Match,Google,1
770382046,3,filipino youth coalition community services and dev of sta clara co inc,"6927 BURNING TREE CT,95122-1029",O,O01,39978.66667,3,filipino youth coalition-community services & dev of sta clara co inc,"2448 STORY ROAD,95122-1029",O,O01,72724,-32745.33333,-45.02685954,"2448 STORY ROAD,95122-1029",37.347546,-121.831237,"2448 Story Rd, San Jose, CA 95122, USA",Match,Google,1
956098089,3,san diego indoor sports inc,"3030 FRONT ST,92103-5516",N,N60,6819,3,san diego indoor sports inc,"3030 FRONT ST,92103-5516",N,N60,12355,-5536,-44.80777013,"3030 FRONT ST,92103-5516",32.7370509,-117.1653986,"3030 Front St, San Diego, CA 92103, USA",Match,Google,0
141970853,3,keystone chinese school,"PO BOX 3244,94703-0244",P,P84,24097,3,keystone chinese school,"PO BOX 3244,94703-0244",P,P84,43217.33333,-19120.33333,-44.24227933,"PO BOX 3244,94703-0244",37.8524741,-122.2738958,"Berkeley, CA 94703, USA",Partial Match,Google,1
